,index,month,year,compound,compound_lag_1,compound_lag_2,compound_lag_3,compound_lag_4,compound_lag_5,compound_lag_6,compound_lag_7,compound_lag_8,compound_lag_9,compound_lag_10,compound_lag_11,compound_lag_12
14,2014-03,3,2014,0.156675,-0.05563846153846156,-0.0,-0.03761052631578948,-0.1533,-0.0,-0.0,0.07371818181818182,0.13091538461538466,0.0,0.09212640140954961,-0.03331283517869711,0.020538863163955704
15,2014-04,4,2014,0.0,0.156675,-0.05563846153846156,-0.0,-0.03761052631578948,-0.1533,-0.0,-0.0,0.07371818181818182,0.13091538461538466,0.0,0.09212640140954961,-0.03331283517869711
16,2014-05,5,2014,0.13359230769230773,0.0,0.156675,-0.05563846153846156,-0.0,-0.03761052631578948,-0.1533,-0.0,-0.0,0.07371818181818182,0.13091538461538466,0.0,0.09212640140954961
17,2014-06,6,2014,0.055499999999999994,0.13359230769230773,0.0,0.156675,-0.05563846153846156,-0.0,-0.03761052631578948,-0.1533,-0.0,-0.0,0.07371818181818182,0.13091538461538466,0.0
18,2014-07,7,2014,0.0,0.055499999999999994,0.13359230769230773,0.0,0.156675,-0.05563846153846156,-0.0,-0.03761052631578948,-0.1533,-0.0,-0.0,0.07371818181818182,0.13091538461538466
19,2014-08,8,2014,-0.1329535714285714,0.0,0.055499999999999994,0.13359230769230773,0.0,0.156675,-0.05563846153846156,-0.0,-0.03761052631578948,-0.1533,-0.0,-0.0,0.07371818181818182
20,2014-09,9,2014,0.10714285714285712,-0.1329535714285714,0.0,0.055499999999999994,0.13359230769230773,0.0,0.156675,-0.05563846153846156,-0.0,-0.03761052631578948,-0.1533,-0.0,-0.0
21,2014-10,10,2014,-0.03673953488372093,0.10714285714285712,-0.1329535714285714,0.0,0.055499999999999994,0.13359230769230773,0.0,0.156675,-0.05563846153846156,-0.0,-0.03761052631578948,-0.1533,-0.0
22,2014-11,11,2014,0.0,-0.03673953488372093,0.10714285714285712,-0.1329535714285714,0.0,0.055499999999999994,0.13359230769230773,0.0,0.156675,-0.05563846153846156,-0.0,-0.03761052631578948,-0.1533
23,2014-12,12,2014,0.12184736842105263,0.0,-0.03673953488372093,0.10714285714285712,-0.1329535714285714,0.0,0.055499999999999994,0.13359230769230773,0.0,0.156675,-0.05563846153846156,-0.0,-0.03761052631578948
24,2015-01,1,2015,-0.10774285714285713,0.12184736842105263,0.0,-0.03673953488372093,0.10714285714285712,-0.1329535714285714,0.0,0.055499999999999994,0.13359230769230773,0.0,0.156675,-0.05563846153846156,-0.0
25,2015-02,2,2015,-0.05824411764705883,-0.10774285714285713,0.12184736842105263,0.0,-0.03673953488372093,0.10714285714285712,-0.1329535714285714,0.0,0.055499999999999994,0.13359230769230773,0.0,0.156675,-0.05563846153846156
26,2015-03,3,2015,0.017191836734693877,-0.05824411764705883,-0.10774285714285713,0.12184736842105263,0.0,-0.03673953488372093,0.10714285714285712,-0.1329535714285714,0.0,0.055499999999999994,0.13359230769230773,0.0,0.156675
27,2015-04,4,2015,0.015814285714285708,0.017191836734693877,-0.05824411764705883,-0.10774285714285713,0.12184736842105263,0.0,-0.03673953488372093,0.10714285714285712,-0.1329535714285714,0.0,0.055499999999999994,0.13359230769230773,0.0
28,2015-05,5,2015,0.17545048543689323,0.015814285714285708,0.017191836734693877,-0.05824411764705883,-0.10774285714285713,0.12184736842105263,0.0,-0.03673953488372093,0.10714285714285712,-0.1329535714285714,0.0,0.055499999999999994,0.13359230769230773
29,2015-06,6,2015,0.08566363636363636,0.17545048543689323,0.015814285714285708,0.017191836734693877,-0.05824411764705883,-0.10774285714285713,0.12184736842105263,0.0,-0.03673953488372093,0.10714285714285712,-0.1329535714285714,0.0,0.055499999999999994
30,2015-07,7,2015,-0.14020384615384612,0.08566363636363636,0.17545048543689323,0.015814285714285708,0.017191836734693877,-0.05824411764705883,-0.10774285714285713,0.12184736842105263,0.0,-0.03673953488372093,0.10714285714285712,-0.1329535714285714,0.0
31,2015-08,8,2015,-0.004428000000000005,-0.14020384615384612,0.08566363636363636,0.17545048543689323,0.015814285714285708,0.017191836734693877,-0.05824411764705883,-0.10774285714285713,0.12184736842105263,0.0,-0.03673953488372093,0.10714285714285712,-0.1329535714285714
32,2015-09,9,2015,0.02104477611940299,-0.004428000000000005,-0.14020384615384612,0.08566363636363636,0.17545048543689323,0.015814285714285708,0.017191836734693877,-0.05824411764705883,-0.10774285714285713,0.12184736842105263,0.0,-0.03673953488372093,0.10714285714285712
33,2015-10,10,2015,-0.04737391304347825,0.02104477611940299,-0.004428000000000005,-0.14020384615384612,0.08566363636363636,0.17545048543689323,0.015814285714285708,0.017191836734693877,-0.05824411764705883,-0.10774285714285713,0.12184736842105263,0.0,-0.03673953488372093
34,2015-11,11,2015,-0.06004235294117646,-0.04737391304347825,0.02104477611940299,-0.004428000000000005,-0.14020384615384612,0.08566363636363636,0.17545048543689323,0.015814285714285708,0.017191836734693877,-0.05824411764705883,-0.10774285714285713,0.12184736842105263,0.0
35,2015-12,12,2015,-0.2312965909090909,-0.06004235294117646,-0.04737391304347825,0.02104477611940299,-0.004428000000000005,-0.14020384615384612,0.08566363636363636,0.17545048543689323,0.015814285714285708,0.017191836734693877,-0.05824411764705883,-0.10774285714285713,0.12184736842105263
36,2016-01,1,2016,-0.18203924050632914,-0.2312965909090909,-0.06004235294117646,-0.04737391304347825,0.02104477611940299,-0.004428000000000005,-0.14020384615384612,0.08566363636363636,0.17545048543689323,0.015814285714285708,0.017191836734693877,-0.05824411764705883,-0.10774285714285713
