Year,Month,Core,Month_sin,Month_cos
2013,1,2.0,0.49999999999999994,0.8660254037844387
2013,2,2.0,0.8660254037844386,0.5000000000000001
2013,3,2.1,1.0,6.123233995736766e-17
2013,4,1.8,0.8660254037844387,-0.49999999999999983
2013,5,2.0,0.5000000000000003,-0.8660254037844385
2013,6,2.1,1.2246467991473532e-16,-1.0
2013,7,1.9,-0.4999999999999998,-0.8660254037844388
2013,8,1.8,-0.8660254037844384,-0.5000000000000004
2013,9,1.9,-1.0,-1.8369701987210297e-16
2013,10,1.6,-0.866025403784439,0.49999999999999933
2013,11,1.7,-0.5000000000000004,0.8660254037844384
2013,12,1.6,-2.4492935982947064e-16,1.0
2014,1,1.5,0.49999999999999994,0.8660254037844387
2014,2,1.6,0.8660254037844386,0.5000000000000001
2014,3,1.5,1.0,6.123233995736766e-17
2014,4,1.8,0.8660254037844387,-0.49999999999999983
2014,5,1.5,0.5000000000000003,-0.8660254037844385
2014,6,1.9,1.2246467991473532e-16,-1.0
2014,7,1.7,-0.4999999999999998,-0.8660254037844388
2014,8,1.8,-0.8660254037844384,-0.5000000000000004
2014,9,1.5,-1.0,-1.8369701987210297e-16
2014,10,1.5,-0.866025403784439,0.49999999999999933
2014,11,1.3,-0.5000000000000004,0.8660254037844384
2014,12,1.4,-2.4492935982947064e-16,1.0
2015,1,1.5,0.49999999999999994,0.8660254037844387
2015,2,1.4,0.8660254037844386,0.5000000000000001
2015,3,1.2,1.0,6.123233995736766e-17
2015,4,1.1,0.8660254037844387,-0.49999999999999983
2015,5,1.2,0.5000000000000003,-0.8660254037844385
2015,6,1.0,1.2246467991473532e-16,-1.0
2015,7,1.3,-0.4999999999999998,-0.8660254037844388
2015,8,1.2,-0.8660254037844384,-0.5000000000000004
2015,9,1.2,-1.0,-1.8369701987210297e-16
2015,10,1.3,-0.866025403784439,0.49999999999999933
2015,11,1.4,-0.5000000000000004,0.8660254037844384
2015,12,1.5,-2.4492935982947064e-16,1.0
2016,1,1.4,0.49999999999999994,0.8660254037844387
2016,2,1.4,0.8660254037844386,0.5000000000000001
2016,3,1.6,1.0,6.123233995736766e-17
2016,4,1.5,0.8660254037844387,-0.49999999999999983
2016,5,1.5,0.5000000000000003,-0.8660254037844385
2016,6,1.6,1.2246467991473532e-16,-1.0
2016,7,1.6,-0.4999999999999998,-0.8660254037844388
2016,8,1.5,-0.8660254037844384,-0.5000000000000004
2016,9,1.7,-1.0,-1.8369701987210297e-16
2016,10,1.6,-0.866025403784439,0.49999999999999933
2016,11,1.7,-0.5000000000000004,0.8660254037844384
2016,12,1.8,-2.4492935982947064e-16,1.0
2017,1,1.8,0.49999999999999994,0.8660254037844387
2017,2,2.1,0.8660254037844386,0.5000000000000001
2017,3,1.9,1.0,6.123233995736766e-17
2017,4,2.4,0.8660254037844387,-0.49999999999999983
2017,5,2.5,0.5000000000000003,-0.8660254037844385
2017,6,2.4,1.2246467991473532e-16,-1.0
2017,7,2.4,-0.4999999999999998,-0.8660254037844388
2017,8,2.6,-0.8660254037844384,-0.5000000000000004
2017,9,2.5,-1.0,-1.8369701987210297e-16
2017,10,2.5,-0.866025403784439,0.49999999999999933
2017,11,2.5,-0.5000000000000004,0.8660254037844384
2017,12,2.3,-2.4492935982947064e-16,1.0
2018,1,2.4,0.49999999999999994,0.8660254037844387
2018,2,2.2,0.8660254037844386,0.5000000000000001
2018,3,2.1,1.0,6.123233995736766e-17
2018,4,2.0,0.8660254037844387,-0.49999999999999983
2018,5,2.0,0.5000000000000003,-0.8660254037844385
2018,6,1.8,1.2246467991473532e-16,-1.0
2018,7,1.8,-0.4999999999999998,-0.8660254037844388
2018,8,1.9,-0.8660254037844384,-0.5000000000000004
2018,9,1.8,-1.0,-1.8369701987210297e-16
2018,10,1.8,-0.866025403784439,0.49999999999999933
2018,11,1.8,-0.5000000000000004,0.8660254037844384
2018,12,1.8,-2.4492935982947064e-16,1.0
2019,1,1.8,0.49999999999999994,0.8660254037844387
2019,2,1.8,0.8660254037844386,0.5000000000000001
2019,3,1.8,1.0,6.123233995736766e-17
2019,4,1.7,0.8660254037844387,-0.49999999999999983
2019,5,1.7,0.5000000000000003,-0.8660254037844385
2019,6,1.7,1.2246467991473532e-16,-1.0
2019,7,1.9,-0.4999999999999998,-0.8660254037844388
2019,8,1.5,-0.8660254037844384,-0.5000000000000004
2019,9,1.6,-1.0,-1.8369701987210297e-16
