Year,Month,Full-Time,Part-Time,All,Full-Time-Normalised,Part-Time-Normalised,All-Normalised,Full-Time-LogNormed,Part-Time-LogNormed,All-LogNormed,Full-Time-Diff,Part-Time-Diff,All-Diff
2015,1,2281.91,718.78,1840.25,-1.5549002806537784,-1.6747772228146909,-1.5581585989748337,,,,,,
2015,2,2286.24,722.7491666666666,1844.9408333333333,-1.5222383446954022,-1.6197400829534607,-1.5206179297818458,,,,0.03266193595837619,0.055037139861230155,0.03754066919298782
2015,3,2290.5699999999997,726.7183333333332,1849.6316666666667,-1.4895764087370262,-1.5647029430922303,-1.483077260588858,,,,0.032661935958375965,0.05503713986123038,0.03754066919298782
2015,4,2294.8999999999996,730.6875,1854.3225,-1.45691447277865,-1.5096658032309986,-1.4455365913958702,,,,0.03266193595837619,0.05503713986123171,0.03754066919298782
2015,5,2299.23,734.6566666666666,1859.0133333333333,-1.4242525368202705,-1.4546286633697683,-1.4079959222028824,,,,0.03266193595837952,0.05503713986123038,0.03754066919298782
2015,6,2303.56,738.6258333333333,1863.7041666666667,-1.3915906008618946,-1.399591523508538,-1.3704552530098943,,,,0.032661935958375965,0.055037139861230155,0.03754066919298804
2015,7,2307.89,742.595,1868.395,-1.3589286649035184,-1.3445543836473062,-1.3329145838169065,,,,0.03266193595837619,0.05503713986123193,0.03754066919298782
2015,8,2312.22,746.5641666666667,1873.0858333333333,-1.3262667289451424,-1.289517243786076,-1.2953739146239187,,,,0.032661935958375965,0.055037139861230155,0.03754066919298782
2015,9,2316.5499999999997,750.5333333333333,1877.7766666666666,-1.2936047929867662,-1.2344801039248459,-1.257833245430931,,,,0.03266193595837619,0.055037139861230155,0.03754066919298782
2015,10,2320.88,754.5024999999999,1882.4675,-1.2609428570283867,-1.1794429640636155,-1.220292576237943,,,,0.03266193595837952,0.05503713986123038,0.03754066919298782
2015,11,2325.21,758.4716666666666,1887.1583333333333,-1.2282809210700107,-1.1244058242023853,-1.1827519070449553,,,,0.032661935958375965,0.055037139861230155,0.03754066919298782
2015,12,2329.54,762.4408333333333,1891.8491666666666,-1.1956189851116346,-1.0693686843411534,-1.1452112378519672,,,,0.03266193595837619,0.05503713986123193,0.03754066919298804
2016,1,2333.87,766.41,1896.54,-1.1629570491532586,-1.0143315444799232,-1.1076705686589794,,,,0.032661935958375965,0.055037139861230155,0.03754066919298782
2016,2,2337.8391666666666,768.2141666666666,1900.5091666666667,-1.1330169411914126,-0.9893146627248183,-1.0759053870341428,,,,0.029940107961845985,0.02501688175510497,0.03176518162483655
2016,3,2341.8083333333334,770.0183333333333,1904.4783333333332,-1.1030768332295666,-0.9642977809697133,-1.044140205409308,,,,0.029940107961845985,0.02501688175510497,0.03176518162483477
2016,4,2345.7775,771.8225,1908.4475,-1.0731367252677209,-0.9392808992146084,-1.0123750237844715,,,,0.029940107961845763,0.02501688175510486,0.03176518162483655
2016,5,2349.7466666666664,773.6266666666667,1912.4166666666667,-1.0431966173058784,-0.9142640174595035,-0.980609842159635,,,,0.029940107961842433,0.02501688175510497,0.03176518162483655
2016,6,2353.715833333333,775.4308333333333,1916.3858333333333,-1.0132565093440324,-0.8892471357043985,-0.9488446605348002,,,,0.029940107961845985,0.02501688175510497,0.03176518162483477
2016,7,2357.685,777.235,1920.355,-0.9833164013821866,-0.8642302539492935,-0.9170794789099637,,,,0.029940107961845874,0.02501688175510497,0.03176518162483655
2016,8,2361.6541666666667,779.0391666666667,1924.3241666666668,-0.9533762934203407,-0.8392133721941886,-0.8853142972851271,,,,0.029940107961845874,0.02501688175510497,0.03176518162483655
2016,9,2365.6233333333334,780.8433333333334,1928.2933333333333,-0.9234361854584948,-0.8141964904390837,-0.8535491156602923,,,,0.029940107961845874,0.02501688175510486,0.03176518162483477
2016,10,2369.5924999999997,782.6475,1932.2625,-0.8934960774966524,-0.7891796086839787,-0.8217839340354557,,,,0.029940107961842433,0.02501688175510497,0.03176518162483666
2016,11,2373.5616666666665,784.4516666666667,1936.2316666666668,-0.8635559695348065,-0.7641627269288738,-0.7900187524106191,,,,0.029940107961845874,0.02501688175510497,0.03176518162483655
2016,12,2377.5308333333332,786.2558333333334,1940.2008333333333,-0.8336158615729606,-0.7391458451737688,-0.7582535707857844,,,,0.029940107961845874,0.02501688175510497,0.03176518162483477
2017,1,2381.5,788.0600000000001,1944.17,-0.8036757536111147,-0.7141289634186639,-0.7264883891609478,,,,0.029940107961845985,0.02501688175510486,0.03176518162483655
2017,2,2387.995,789.8641666666667,1948.1391666666668,-0.7546828496735506,-0.689112081663559,-0.6947232075361113,,,,0.04899290393756406,0.02501688175510497,0.03176518162483655
2017,3,2394.49,791.6683333333334,1952.1083333333333,-0.7056899457359864,-0.664095199908454,-0.6629580259112765,,,,0.04899290393756417,0.02501688175510497,0.03176518162483477
2017,4,2400.985,793.4725000000001,1956.0775,-0.6566970417984189,-0.639078318153349,-0.63119284428644,,,,0.0489929039375675,0.02501688175510497,0.03176518162483655
2017,5,2407.48,795.2766666666668,1960.0466666666666,-0.6077041378608548,-0.6140614363982442,-0.5994276626616052,,,,0.04899290393756417,0.02501688175510486,0.03176518162483477
2017,6,2413.975,797.0808333333334,1964.0158333333334,-0.5587112339232906,-0.5890445546431392,-0.5676624810367685,,,,0.04899290393756417,0.02501688175510497,0.03176518162483666
2017,7,2420.4700000000003,798.885,1967.9850000000001,-0.5097183299857231,-0.5640276728880358,-0.535897299411932,,,,0.0489929039375675,0.025016881755103415,0.03176518162483655
2017,8,2426.965,800.6891666666667,1971.9541666666667,-0.4607254260481589,-0.5390107911329308,-0.5041321177870972,,,,0.04899290393756417,0.02501688175510497,0.03176518162483477
2017,9,2433.46,802.4933333333333,1975.9233333333334,-0.4117325221105948,-0.513993909377826,-0.47236693616226066,,,,0.048992903937564114,0.02501688175510486,0.03176518162483655
2017,10,2439.955,804.2975,1979.8925,-0.3627396181730307,-0.488977027622721,-0.4406017545374259,,,,0.048992903937564114,0.02501688175510497,0.03176518162483477
2017,11,2446.45,806.1016666666667,1983.8616666666667,-0.3137467142354666,-0.463960145867616,-0.40883657291258935,,,,0.048992903937564114,0.02501688175510497,0.03176518162483655
2017,12,2452.945,807.9058333333334,1987.8308333333332,-0.264753810297899,-0.4389432641125111,-0.3770713912877546,,,,0.048992903937567556,0.025016881755104914,0.03176518162483477
2018,1,2459.44,809.71,1991.8,-0.21576090636033488,-0.41392638235740614,-0.34530620966291803,,,,0.04899290393756414,0.02501688175510497,0.03176518162483655
2018,2,2465.5741666666668,813.3183333333334,1998.6558333333332,-0.16948983041930094,-0.36389261884719626,-0.2904390777654745,,,,0.04627107594103394,0.05003376351020988,0.05486713189744352
2018,3,2471.7083333333335,816.9266666666667,2005.5116666666668,-0.12321875447826701,-0.3138588553369864,-0.23557194586802918,,,,0.046271075941033926,0.05003376351020988,0.054867131897445326
2018,4,2477.8425,820.5350000000001,2012.3675,-0.07694767853723307,-0.2638250918267765,-0.18070481397058566,,,,0.04627107594103394,0.05003376351020988,0.05486713189744352
2018,5,2483.976666666667,824.1433333333333,2019.2233333333334,-0.03067660259619914,-0.2137913283165682,-0.12583768207314217,,,,0.046271075941033926,0.0500337635102083,0.054867131897443494
2018,6,2490.1108333333336,827.7516666666667,2026.0791666666667,0.01559447334483479,-0.1637575648063583,-0.07097055017569864,-6.002821358808409,,,0.046271075941033926,0.05003376351020988,0.05486713189744352
2018,7,2496.245,831.36,2032.935,0.06186554928586529,-0.11372380129614841,-0.016103418278255142,-4.01471994205519,,,0.0462710759410305,0.0500337635102099,0.0548671318974435
2018,8,2502.3791666666666,834.9683333333334,2039.7908333333335,0.10813662522689922,-0.06369003778593853,0.038763713619190183,-3.2090728568834708,,-4.689149400153118,0.04627107594103393,0.05003376351020988,0.054867131897445326
2018,9,2508.5133333333333,838.5766666666667,2046.6466666666668,0.15440770116793315,-0.013656274275728639,0.09363084551663368,-2.695183385288415,,-3.416872303737632,0.046271075941033926,0.05003376351020989,0.0548671318974435
2018,10,2514.6475,842.185,2053.5025,0.2006787771089671,0.03637748923447967,0.1484979774140772,-2.3170400431026734,-4.780810217812434,-2.7514848136562864,0.04627107594103394,0.05003376351020831,0.05486713189744351
2018,11,2520.7816666666668,845.7933333333333,2060.3583333333336,0.24694985305000103,0.08641125274468955,0.20336510931152252,-2.017709984660974,-3.5326369928735417,-2.2978559129438563,0.04627107594103394,0.05003376351020988,0.054867131897445326
2018,12,2526.9158333333335,849.4016666666666,2067.2141666666666,0.29322092899103497,0.13644501625489944,0.2582322412089642,-1.7699400136735515,-2.8736083947102684,-1.9532589574164227,0.04627107594103394,0.05003376351020988,0.05486713189744169
2019,1,2533.05,853.01,2074.07,0.3394920049320689,0.18647877976510932,0.31309937310640956,-1.5585504956181604,-2.422916625637124,-1.6753074749996633,0.04627107594103391,0.05003376351020988,0.054867131897445354
