year,month,GDP,Temperature,Unemployment Rate,Normalised GDP,Normalised Temperature,Normalised Unemployment Rate,Unnamed: 8,GDP_sin,GDP_cos,Temperature_sin,Temperature_cos,Unemployment_Rate_sin,Unemployment_Rate_cos
2017,feb,566501,5.2,4.6,-0.032539462,-1.0031895,0.06969199,,-0.109896951,0.993942986,0.310893306,-0.950444818,0.156712,0.987644343
2017,mar,573554,7.3,4.5,0.081036121,-0.50861686,-0.065958491,,0.270816147,0.96263109,-0.983434813,-0.181262157,-0.148380656,0.988930322
2017,apr,580607,8,4.4,0.194611705,-0.343759314,-0.201608971,,0.61201097,0.790849273,-0.926441205,0.376439495,-0.439661567,0.898163519
2017,may,583662,12.1,4.4,0.243806857,0.621834887,-0.201608971,,0.734606209,0.678493712,0.840548225,-0.541736728,-0.439661567,0.898163519
2017,jun,584018,14.4,4.3,0.249539582,1.163509682,-0.337259452,,0.747630305,0.664115146,-0.763498724,-0.645809336,-0.690017382,0.723792797
2017,jul,589555,15.1,4.3,0.338702776,1.328367229,-0.337259452,,0.911217834,0.411924822,-0.991053713,-0.133463619,-0.690017382,0.723792797
2017,aug,592795,14.5,4.3,0.390877013,1.187060761,-0.337259452,,0.969405673,0.245464136,-0.813350201,-0.581774398,-0.690017382,0.723792797
2017,sep,596035,12.5,4.2,0.44305125,0.716039199,-0.472909933,,0.997449857,0.071370746,0.623801669,-0.781582675,-0.876144183,0.482049138
2017,oct,601346,11.2,4.3,0.52857513,0.409875184,-0.337259452,,0.976332678,-0.216274136,0.987533498,0.157408992,-0.690017382,0.723792797
2017,nov,604427,5.7,4.4,0.578188964,-0.885434109,-0.201608971,,0.926460516,-0.376391966,-0.089618117,-0.995976201,-0.439661567,0.898163519
2017,dec,609080,4.1,4.3,0.653116965,-1.262251358,-0.337259452,,0.802413019,-0.59676909,0.935280064,-0.353908466,-0.690017382,0.723792797
2018,jan,612161,4,4.2,0.702730799,-1.285802436,-0.472909933,,0.69140044,-0.722471752,0.960897071,-0.276905795,-0.876144183,0.482049138
2018,feb,615243,2.3,4.2,0.752360737,-1.686170764,-0.472909933,,0.560897139,-0.827885499,0.45413979,0.890930441,-0.876144183,0.482049138
2018,mar,618325,3.8,4.2,0.801990674,-1.332904593,-0.472909933,,0.414608417,-0.909999923,0.993019682,-0.117948763,-0.876144183,0.482049138
2018,apr,619646,8.4,4.2,0.823262948,-0.249555002,-0.472909933,,0.348080952,-0.93746448,-0.757939917,0.652324369,-0.876144183,0.482049138
2018,may,626317,12,4,0.930687125,0.598283809,-0.744210894,,-0.008019324,-0.999967845,0.881707247,-0.471796916,-0.994000975,-0.109371208
2018,jun,631183,14.8,4,1.009045099,1.257713995,-0.744210894,,-0.26981109,-0.962913275,-0.929631115,-0.368491506,-0.994000975,-0.109371208
2018,jul,634309,17.2,4,1.059383575,1.822939868,-0.744210894,,-0.429149787,-0.903233337,-2.45E-16,1,-0.994000975,-0.109371208
2018,aug,638965,15.2,4.1,1.134359886,1.351918307,-0.608560413,,-0.642138419,-0.766588711,-0.998612267,-0.052664419,-0.980716694,0.195434813
2018,sep,642626,12.4,4.1,1.193313553,0.692488121,-0.608560413,,-0.781330206,-0.624117865,0.685122341,-0.728428018,-0.980716694,0.195434813
2018,oct,647461,9.5,4,1.271172329,0.009506857,-0.744210894,,-0.916915836,-0.399080631,0.032761725,0.999463191,-0.994000975,-0.109371208
2018,nov,650345,7.3,4,1.31761384,-0.50861686,-0.744210894,,-0.968078796,-0.250646053,-0.983434813,-0.181262157,-0.994000975,-0.109371208
2018,dec,653228,5.8,3.9,1.364039249,-0.861883031,-0.879861375,,-0.995372923,-0.096087172,-0.17008189,-0.985429932,-0.914760482,-0.403996609
2019,jan,656112,3.4,3.9,1.410480761,-1.427108905,-0.879861375,,-0.998144296,0.06089306,0.978760057,0.205009146,-0.914760482,-0.403996609
2019,feb,656941,6,3.8,1.42383028,-0.814780875,-1.015511856,,-0.994375835,0.105908922,-0.327126609,-0.944980519,-0.750371172,-0.66101672
2019,mar,663315,6.8,3.8,1.526471819,-0.626372251,-1.015511856,,-0.898934419,0.438083224,-0.831973518,-0.554815343,-0.750371172,-0.66101672
2019,apr,663784,8.4,3.8,1.534024201,-0.249555002,-1.015511856,,-0.887445242,0.460913161,-0.757939917,0.652324369,-0.750371172,-0.66101672
2019,may,667209,10,3.9,1.589177522,0.127262248,-0.879861375,,-0.786501557,0.617588294,0.424707588,0.905330583,-0.914760482,-0.403996609
2019,jun,667496,13.2,3.8,1.593799129,0.880896746,-1.015511856,,-0.776746461,0.629813413,0.105182669,-0.994452918,-0.750371172,-0.66101672
2019,jul,672657,16.4,3.9,1.676907535,1.634531244,-0.879861375,,-0.571415467,0.820660931,-0.604703905,0.796450367,-0.914760482,-0.403996609
2019,aug,674824,15.8,3.8,1.711803081,1.493224775,-1.015511856,,-0.470746611,0.882268456,-0.907140931,0.420826962,-0.750371172,-0.66101672
2019,sep,680196,13.1,3.8,1.798309254,0.857345668,-1.015511856,,-0.196105223,0.980582858,0.185471675,-0.982649611,-0.750371172,-0.66101672
2019,oct,681311,8.9,3.8,1.816264277,-0.131799611,-1.015511856,,-0.136196795,0.990681802,-0.438813607,0.898578109,-0.750371172,-0.66101672
2019,nov,683449,5.3,3.8,1.850692832,-0.979638422,-1.015511856,,-0.020107658,0.999797821,0.232802639,-0.972524,-0.750371172,-0.66101672
2019,dec,683818,5.1,3.9,1.856634897,-1.026740578,-0.879861375,,-2.45E-16,1,0.38693654,-0.922106347,-0.914760482,-0.403996609
2020,jan,680494,5.6,4,1.803107995,-0.908985187,-0.744210894,,-0.180155594,0.983638125,-0.008564152,-0.999963327,-0.994000975,-0.109371208
2020,feb,667654,5.1,4,1.596343428,-1.026740578,-0.744210894,,-0.771294812,0.636478054,0.38693654,-0.922106347,-0.994000975,-0.109371208
2020,mar,537988,5.6,4.1,-0.491688848,-0.908985187,-0.608560413,,-0.995663105,-0.09303215,-0.008564152,-0.999963327,-0.980716694,0.195434813
2020,apr,484465,9.1,4.1,-1.353578253,-0.084697455,-0.608560413,,0.991348284,-0.131257684,-0.287800561,0.957690366,-0.980716694,0.195434813
2020,may,454332,11.3,4.1,-1.838814757,0.433426262,-0.608560413,,0.06027,0.998182111,0.997045256,0.076816382,-0.980716694,0.195434813
2020,jun,444317,14,4.3,-2.000087899,1.06930537,-0.337259452,,-0.466624701,0.884455419,-0.517576787,-0.855636762,-0.690017382,0.723792797
2020,jul,448426,14.3,4.6,-1.933920017,1.139958604,0.06969199,,-0.258574959,0.965991196,-0.70861912,-0.705591201,0.156712,0.987644343
2020,aug,454243,15.9,4.9,-1.840247938,1.516775853,0.476643432,,0.055427986,0.998462688,-0.870031065,0.492996903,0.880176693,0.474646173
2020,sep,460060,12.8,5.1,-1.74657586,0.786692433,0.747944394,,0.363907404,0.93143513,0.416938623,-0.908934643,0.993043664,-0.117746686
2020,oct,465877,9,5.1,-1.652903781,-0.108248533,0.747944394,,0.636122636,0.771587968,-0.364507341,0.931200515,0.993043664,-0.117746686
2020,nov,473664,7,5.2,-1.527508478,-0.579270094,0.883594874,,0.897391989,0.441234199,-0.910711689,-0.413042636,0.911322314,-0.411693624
2020,dec,481450,5.8,5.1,-1.402129279,-0.861883031,0.747944394,,0.999466454,0.032662032,-0.17008189,-0.985429932,0.993043664,-0.117746686
