Year,Month,Productivity,Difference,Month_sin,Month_cos
2013,1,95.5,,0.49999999999999994,0.8660254037844387
2013,2,95.5,0.0,0.8660254037844386,0.5000000000000001
2013,3,95.5,0.0,1.0,6.123233995736766e-17
2013,4,95.7,0.20000000000000284,0.8660254037844387,-0.49999999999999983
2013,5,95.7,0.0,0.5000000000000003,-0.8660254037844385
2013,6,95.7,0.0,1.2246467991473532e-16,-1.0
2013,7,95.4,-0.29999999999999716,-0.4999999999999998,-0.8660254037844388
2013,8,95.4,0.0,-0.8660254037844384,-0.5000000000000004
2013,9,95.4,0.0,-1.0,-1.8369701987210297e-16
2013,10,95.7,0.29999999999999716,-0.866025403784439,0.49999999999999933
2013,11,95.7,0.0,-0.5000000000000004,0.8660254037844384
2013,12,95.7,0.0,-2.4492935982947064e-16,1.0
2014,1,95.7,0.0,0.49999999999999994,0.8660254037844387
2014,2,95.7,0.0,0.8660254037844386,0.5000000000000001
2014,3,95.7,0.0,1.0,6.123233995736766e-17
2014,4,95.8,0.09999999999999432,0.8660254037844387,-0.49999999999999983
2014,5,95.8,0.0,0.5000000000000003,-0.8660254037844385
2014,6,95.8,0.0,1.2246467991473532e-16,-1.0
2014,7,96.3,0.5,-0.4999999999999998,-0.8660254037844388
2014,8,96.3,0.0,-0.8660254037844384,-0.5000000000000004
2014,9,96.3,0.0,-1.0,-1.8369701987210297e-16
2014,10,96.3,0.0,-0.866025403784439,0.49999999999999933
2014,11,96.3,0.0,-0.5000000000000004,0.8660254037844384
2014,12,96.3,0.0,-2.4492935982947064e-16,1.0
2015,1,96.3,0.0,0.49999999999999994,0.8660254037844387
2015,2,96.3,0.0,0.8660254037844386,0.5000000000000001
2015,3,96.3,0.0,1.0,6.123233995736766e-17
2015,4,97.0,0.7000000000000028,0.8660254037844387,-0.49999999999999983
2015,5,97.0,0.0,0.5000000000000003,-0.8660254037844385
2015,6,97.0,0.0,1.2246467991473532e-16,-1.0
2015,7,97.2,0.20000000000000284,-0.4999999999999998,-0.8660254037844388
2015,8,97.2,0.0,-0.8660254037844384,-0.5000000000000004
2015,9,97.2,0.0,-1.0,-1.8369701987210297e-16
2015,10,96.1,-1.1000000000000085,-0.866025403784439,0.49999999999999933
2015,11,96.1,0.0,-0.5000000000000004,0.8660254037844384
2015,12,96.1,0.0,-2.4492935982947064e-16,1.0
2016,1,96.9,0.8000000000000114,0.49999999999999994,0.8660254037844387
2016,2,96.9,0.0,0.8660254037844386,0.5000000000000001
2016,3,96.9,0.0,1.0,6.123233995736766e-17
2016,4,97.4,0.5,0.8660254037844387,-0.49999999999999983
2016,5,97.4,0.0,0.5000000000000003,-0.8660254037844385
2016,6,97.4,0.0,1.2246467991473532e-16,-1.0
2016,7,97.8,0.3999999999999915,-0.4999999999999998,-0.8660254037844388
2016,8,97.8,0.0,-0.8660254037844384,-0.5000000000000004
2016,9,97.8,0.0,-1.0,-1.8369701987210297e-16
2016,10,98.0,0.20000000000000284,-0.866025403784439,0.49999999999999933
2016,11,98.0,0.0,-0.5000000000000004,0.8660254037844384
2016,12,98.0,0.0,-2.4492935982947064e-16,1.0
2017,1,98.0,0.0,0.49999999999999994,0.8660254037844387
2017,2,98.0,0.0,0.8660254037844386,0.5000000000000001
2017,3,98.0,0.0,1.0,6.123233995736766e-17
2017,4,98.1,0.09999999999999432,0.8660254037844387,-0.49999999999999983
2017,5,98.1,0.0,0.5000000000000003,-0.8660254037844385
2017,6,98.1,0.0,1.2246467991473532e-16,-1.0
2017,7,99.7,1.6000000000000085,-0.4999999999999998,-0.8660254037844388
2017,8,99.7,0.0,-0.8660254037844384,-0.5000000000000004
2017,9,99.7,0.0,-1.0,-1.8369701987210297e-16
2017,10,100.0,0.29999999999999716,-0.866025403784439,0.49999999999999933
2017,11,100.0,0.0,-0.5000000000000004,0.8660254037844384
2017,12,100.0,0.0,-2.4492935982947064e-16,1.0
2018,1,99.5,-0.5,0.49999999999999994,0.8660254037844387
2018,2,99.5,0.0,0.8660254037844386,0.5000000000000001
2018,3,99.5,0.0,1.0,6.123233995736766e-17
2018,4,99.8,0.29999999999999716,0.8660254037844387,-0.49999999999999983
2018,5,99.8,0.0,0.5000000000000003,-0.8660254037844385
2018,6,99.8,0.0,1.2246467991473532e-16,-1.0
2018,7,99.5,-0.29999999999999716,-0.4999999999999998,-0.8660254037844388
2018,8,99.5,0.0,-0.8660254037844384,-0.5000000000000004
2018,9,99.5,0.0,-1.0,-1.8369701987210297e-16
2018,10,99.9,0.4000000000000057,-0.866025403784439,0.49999999999999933
2018,11,99.9,0.0,-0.5000000000000004,0.8660254037844384
2018,12,99.9,0.0,-2.4492935982947064e-16,1.0
2019,1,99.5,-0.4000000000000057,0.49999999999999994,0.8660254037844387
2019,2,99.5,0.0,0.8660254037844386,0.5000000000000001
2019,3,99.5,0.0,1.0,6.123233995736766e-17
2019,4,99.6,0.09999999999999432,0.8660254037844387,-0.49999999999999983
2019,5,99.6,0.0,0.5000000000000003,-0.8660254037844385
2019,6,99.6,0.0,1.2246467991473532e-16,-1.0
2019,7,100.4,0.8000000000000114,-0.4999999999999998,-0.8660254037844388
2019,8,100.4,0.0,-0.8660254037844384,-0.5000000000000004
2019,9,100.4,0.0,-1.0,-1.8369701987210297e-16
2019,10,100.6,0.19999999999998863,-0.866025403784439,0.49999999999999933
2019,11,100.6,0.0,-0.5000000000000004,0.8660254037844384
2019,12,100.6,0.0,-2.4492935982947064e-16,1.0
2020,1,99.8,-0.7999999999999972,0.49999999999999994,0.8660254037844387
