,GDP,Month,Year,Date,GDP_Norm,GDP_Norm_Diff,GDP_Norm_Diff_lag_1,GDP_Norm_Diff_lag_2,GDP_Norm_Diff_lag_3,GDP_Norm_Diff_lag_4,GDP_Norm_Diff_lag_5,GDP_Norm_Diff_lag_6,GDP_Norm_Diff_lag_7,GDP_Norm_Diff_lag_8,GDP_Norm_Diff_lag_9,GDP_Norm_Diff_lag_10,GDP_Norm_Diff_lag_11,GDP_Norm_Diff_lag_12
11,513917.2,2,2015,2015-02-01,-0.5843532827702127,0.03725583115293796,0.028300873498587342,0.02143431256216166,0.027094487261880906,0.034839414008113745,0.04176428968709622,0.04374334626272358,0.04490235177110058,0.04619985479305688,0.048342921582133935,0.05062448588478785,0.0529461415729533,0.05551927958840652
12,515123.0,3,2015,2015-03-01,-0.5404058349085303,0.043947447861682365,0.03725583115293796,0.028300873498587342,0.02143431256216166,0.027094487261880906,0.034839414008113745,0.04176428968709622,0.04374334626272358,0.04490235177110058,0.04619985479305688,0.048342921582133935,0.05062448588478785,0.0529461415729533
13,516141.0,4,2015,2015-04-01,-0.5033030799548125,0.03710275495371784,0.043947447861682365,0.03725583115293796,0.028300873498587342,0.02143431256216166,0.027094487261880906,0.034839414008113745,0.04176428968709622,0.04374334626272358,0.04490235177110058,0.04619985479305688,0.048342921582133935,0.05062448588478785
14,516909.1,5,2015,2015-05-01,-0.4753083588546653,0.02799472110014717,0.03710275495371784,0.043947447861682365,0.03725583115293796,0.028300873498587342,0.02143431256216166,0.027094487261880906,0.034839414008113745,0.04176428968709622,0.04374334626272358,0.04490235177110058,0.04619985479305688,0.048342921582133935
15,517501.7,6,2015,2015-06-01,-0.45371003607905186,0.021598322775613465,0.02799472110014717,0.03710275495371784,0.043947447861682365,0.03725583115293796,0.028300873498587342,0.02143431256216166,0.027094487261880906,0.034839414008113745,0.04176428968709622,0.04374334626272358,0.04490235177110058,0.04619985479305688
16,518365.0,7,2015,2015-07-01,-0.42224558779659194,0.03146444828245992,0.021598322775613465,0.02799472110014717,0.03710275495371784,0.043947447861682365,0.03725583115293796,0.028300873498587342,0.02143431256216166,0.027094487261880906,0.034839414008113745,0.04176428968709622,0.04374334626272358,0.04490235177110058
17,519573.3,8,2015,2015-08-01,-0.37820702314965987,0.044038564646932066,0.03146444828245992,0.021598322775613465,0.02799472110014717,0.03710275495371784,0.043947447861682365,0.03725583115293796,0.028300873498587342,0.02143431256216166,0.027094487261880906,0.034839414008113745,0.04176428968709622,0.04374334626272358
18,521034.3,9,2015,2015-09-01,-0.32495837384967774,0.05324864929998213,0.044038564646932066,0.03146444828245992,0.021598322775613465,0.02799472110014717,0.03710275495371784,0.043947447861682365,0.03725583115293796,0.028300873498587342,0.02143431256216166,0.027094487261880906,0.034839414008113745,0.04176428968709622
19,522194.0,10,2015,2015-10-01,-0.28269111950800085,0.042267254341676885,0.05324864929998213,0.044038564646932066,0.03146444828245992,0.021598322775613465,0.02799472110014717,0.03710275495371784,0.043947447861682365,0.03725583115293796,0.028300873498587342,0.02143431256216166,0.027094487261880906,0.034839414008113745
20,522960.0,11,2015,2015-11-01,-0.2547729365074627,0.027918183000538166,0.042267254341676885,0.05324864929998213,0.044038564646932066,0.03146444828245992,0.021598322775613465,0.02799472110014717,0.03710275495371784,0.043947447861682365,0.03725583115293796,0.028300873498587342,0.02143431256216166,0.027094487261880906
21,523420.2,12,2015,2015-12-01,-0.23800015867867938,0.01677277782878331,0.027918183000538166,0.042267254341676885,0.05324864929998213,0.044038564646932066,0.03146444828245992,0.021598322775613465,0.02799472110014717,0.03710275495371784,0.043947447861682365,0.03725583115293796,0.028300873498587342,0.02143431256216166
22,524102.0,1,2016,2016-01-01,-0.2131507890053548,0.024849369673324573,0.01677277782878331,0.027918183000538166,0.042267254341676885,0.05324864929998213,0.044038564646932066,0.03146444828245992,0.021598322775613465,0.02799472110014717,0.03710275495371784,0.043947447861682365,0.03725583115293796,0.028300873498587342
23,525093.4,2,2016,2016-02-01,-0.17701751664669396,0.036133272358660845,0.024849369673324573,0.01677277782878331,0.027918183000538166,0.042267254341676885,0.05324864929998213,0.044038564646932066,0.03146444828245992,0.021598322775613465,0.02799472110014717,0.03710275495371784,0.043947447861682365,0.03725583115293796
24,526327.2,3,2016,2016-03-01,-0.13204956079021604,0.04496795585647792,0.036133272358660845,0.024849369673324573,0.01677277782878331,0.027918183000538166,0.042267254341676885,0.05324864929998213,0.044038564646932066,0.03146444828245992,0.021598322775613465,0.02799472110014717,0.03710275495371784,0.043947447861682365
25,527401.0,4,2016,2016-04-01,-0.09291307918972098,0.03913648160049506,0.04496795585647792,0.036133272358660845,0.024849369673324573,0.01677277782878331,0.027918183000538166,0.042267254341676885,0.05324864929998213,0.044038564646932066,0.03146444828245992,0.021598322775613465,0.02799472110014717,0.03710275495371784
26,528247.6,5,2016,2016-05-01,-0.06205729103273014,0.030855788156990846,0.03913648160049506,0.04496795585647792,0.036133272358660845,0.024849369673324573,0.01677277782878331,0.027918183000538166,0.042267254341676885,0.05324864929998213,0.044038564646932066,0.03146444828245992,0.021598322775613465,0.02799472110014717
27,528919.3,6,2016,2016-06-01,-0.03757603317181179,0.02448125786091835,0.030855788156990846,0.03913648160049506,0.04496795585647792,0.036133272358660845,0.024849369673324573,0.01677277782878331,0.027918183000538166,0.042267254341676885,0.05324864929998213,0.044038564646932066,0.03146444828245992,0.021598322775613465
28,529730.0,7,2016,2016-07-01,-0.00802868205100889,0.0295473511208029,0.02448125786091835,0.030855788156990846,0.03913648160049506,0.04496795585647792,0.036133272358660845,0.024849369673324573,0.01677277782878331,0.027918183000538166,0.042267254341676885,0.05324864929998213,0.044038564646932066,0.03146444828245992
29,530732.0,8,2016,2016-08-01,0.028490925477110268,0.036519607528119155,0.0295473511208029,0.02448125786091835,0.030855788156990846,0.03913648160049506,0.04496795585647792,0.036133272358660845,0.024849369673324573,0.01677277782878331,0.027918183000538166,0.042267254341676885,0.05324864929998213,0.044038564646932066
