,Date,Month,Year,Unemployment,Unemployment_Norm,Unemployment_Norm_Diff,Unemployment_Norm_Diff_lag_1,Unemployment_Norm_Diff_lag_2,Unemployment_Norm_Diff_lag_3,Unemployment_Norm_Diff_lag_4,Unemployment_Norm_Diff_lag_5,Unemployment_Norm_Diff_lag_6,Unemployment_Norm_Diff_lag_7,Unemployment_Norm_Diff_lag_8,Unemployment_Norm_Diff_lag_9,Unemployment_Norm_Diff_lag_10,Unemployment_Norm_Diff_lag_11,Unemployment_Norm_Diff_lag_12
0,2014-03-01,3,2014,6.6,-0.05712434052367981,-0.08384487026453025,-0.041922435132265304,-0.1257673053967952,0.0,0.0,-0.08384487026453022,-0.08384487026452991,-0.04192243513226529,0.0,0.0,-0.04192243513226496,0.0,0.0
1,2014-04-01,4,2014,6.4,-0.1409692107882097,-0.08384487026452989,-0.08384487026453025,-0.041922435132265304,-0.1257673053967952,0.0,0.0,-0.08384487026453022,-0.08384487026452991,-0.04192243513226529,0.0,0.0,-0.04192243513226496,0.0
2,2014-05-01,5,2014,6.3,-0.182891645920475,-0.04192243513226529,-0.08384487026452989,-0.08384487026453025,-0.041922435132265304,-0.1257673053967952,0.0,0.0,-0.08384487026453022,-0.08384487026452991,-0.04192243513226529,0.0,0.0,-0.04192243513226496
3,2014-06-01,6,2014,6.1,-0.26673651618500527,-0.08384487026453027,-0.04192243513226529,-0.08384487026452989,-0.08384487026453025,-0.041922435132265304,-0.1257673053967952,0.0,0.0,-0.08384487026453022,-0.08384487026452991,-0.04192243513226529,0.0,0.0
4,2014-07-01,7,2014,6.0,-0.3086589513172702,-0.04192243513226496,-0.08384487026453027,-0.04192243513226529,-0.08384487026452989,-0.08384487026453025,-0.041922435132265304,-0.1257673053967952,0.0,0.0,-0.08384487026453022,-0.08384487026452991,-0.04192243513226529,0.0
5,2014-08-01,8,2014,6.0,-0.3086589513172702,0.0,-0.04192243513226496,-0.08384487026453027,-0.04192243513226529,-0.08384487026452989,-0.08384487026453025,-0.041922435132265304,-0.1257673053967952,0.0,0.0,-0.08384487026453022,-0.08384487026452991,-0.04192243513226529
6,2014-09-01,9,2014,6.0,-0.3086589513172702,0.0,0.0,-0.04192243513226496,-0.08384487026453027,-0.04192243513226529,-0.08384487026452989,-0.08384487026453025,-0.041922435132265304,-0.1257673053967952,0.0,0.0,-0.08384487026453022,-0.08384487026452991
7,2014-10-01,10,2014,5.9,-0.3505813864495351,-0.0419224351322649,0.0,0.0,-0.04192243513226496,-0.08384487026453027,-0.04192243513226529,-0.08384487026452989,-0.08384487026453025,-0.041922435132265304,-0.1257673053967952,0.0,0.0,-0.08384487026453022
8,2014-11-01,11,2014,5.7,-0.4344262567140654,-0.08384487026453025,-0.0419224351322649,0.0,0.0,-0.04192243513226496,-0.08384487026453027,-0.04192243513226529,-0.08384487026452989,-0.08384487026453025,-0.041922435132265304,-0.1257673053967952,0.0,0.0
9,2014-12-01,12,2014,5.7,-0.4344262567140654,0.0,-0.08384487026453025,-0.0419224351322649,0.0,0.0,-0.04192243513226496,-0.08384487026453027,-0.04192243513226529,-0.08384487026452989,-0.08384487026453025,-0.041922435132265304,-0.1257673053967952,0.0
10,2015-01-01,1,2015,5.6,-0.4763486918463307,-0.041922435132265345,0.0,-0.08384487026453025,-0.0419224351322649,0.0,0.0,-0.04192243513226496,-0.08384487026453027,-0.04192243513226529,-0.08384487026452989,-0.08384487026453025,-0.041922435132265304,-0.1257673053967952
11,2015-02-01,2,2015,5.5,-0.5182711269785957,-0.04192243513226496,-0.041922435132265345,0.0,-0.08384487026453025,-0.0419224351322649,0.0,0.0,-0.04192243513226496,-0.08384487026453027,-0.04192243513226529,-0.08384487026452989,-0.08384487026453025,-0.041922435132265304
12,2015-03-01,3,2015,5.5,-0.5182711269785957,0.0,-0.04192243513226496,-0.041922435132265345,0.0,-0.08384487026453025,-0.0419224351322649,0.0,0.0,-0.04192243513226496,-0.08384487026453027,-0.04192243513226529,-0.08384487026452989,-0.08384487026453025
13,2015-04-01,4,2015,5.6,-0.4763486918463307,0.04192243513226496,0.0,-0.04192243513226496,-0.041922435132265345,0.0,-0.08384487026453025,-0.0419224351322649,0.0,0.0,-0.04192243513226496,-0.08384487026453027,-0.04192243513226529,-0.08384487026452989
14,2015-05-01,5,2015,5.6,-0.4763486918463307,0.0,0.04192243513226496,0.0,-0.04192243513226496,-0.041922435132265345,0.0,-0.08384487026453025,-0.0419224351322649,0.0,0.0,-0.04192243513226496,-0.08384487026453027,-0.04192243513226529
15,2015-06-01,6,2015,5.5,-0.5182711269785957,-0.04192243513226496,0.0,0.04192243513226496,0.0,-0.04192243513226496,-0.041922435132265345,0.0,-0.08384487026453025,-0.0419224351322649,0.0,0.0,-0.04192243513226496,-0.08384487026453027
16,2015-07-01,7,2015,5.4,-0.5601935621108606,-0.0419224351322649,-0.04192243513226496,0.0,0.04192243513226496,0.0,-0.04192243513226496,-0.041922435132265345,0.0,-0.08384487026453025,-0.0419224351322649,0.0,0.0,-0.04192243513226496
17,2015-08-01,8,2015,5.3,-0.6021159972431259,-0.041922435132265345,-0.0419224351322649,-0.04192243513226496,0.0,0.04192243513226496,0.0,-0.04192243513226496,-0.041922435132265345,0.0,-0.08384487026453025,-0.0419224351322649,0.0,0.0
18,2015-09-01,9,2015,5.2,-0.6440384323753908,-0.0419224351322649,-0.041922435132265345,-0.0419224351322649,-0.04192243513226496,0.0,0.04192243513226496,0.0,-0.04192243513226496,-0.041922435132265345,0.0,-0.08384487026453025,-0.0419224351322649,0.0
19,2015-10-01,10,2015,5.1,-0.6859608675076562,-0.041922435132265345,-0.0419224351322649,-0.041922435132265345,-0.0419224351322649,-0.04192243513226496,0.0,0.04192243513226496,0.0,-0.04192243513226496,-0.041922435132265345,0.0,-0.08384487026453025,-0.0419224351322649
20,2015-11-01,11,2015,5.1,-0.6859608675076562,0.0,-0.041922435132265345,-0.0419224351322649,-0.041922435132265345,-0.0419224351322649,-0.04192243513226496,0.0,0.04192243513226496,0.0,-0.04192243513226496,-0.041922435132265345,0.0,-0.08384487026453025
21,2015-12-01,12,2015,5.1,-0.6859608675076562,0.0,0.0,-0.041922435132265345,-0.0419224351322649,-0.041922435132265345,-0.0419224351322649,-0.04192243513226496,0.0,0.04192243513226496,0.0,-0.04192243513226496,-0.041922435132265345,0.0
22,2016-01-01,1,2016,5.1,-0.6859608675076562,0.0,0.0,0.0,-0.041922435132265345,-0.0419224351322649,-0.041922435132265345,-0.0419224351322649,-0.04192243513226496,0.0,0.04192243513226496,0.0,-0.04192243513226496,-0.041922435132265345
23,2016-02-01,2,2016,5.1,-0.6859608675076562,0.0,0.0,0.0,0.0,-0.041922435132265345,-0.0419224351322649,-0.041922435132265345,-0.0419224351322649,-0.04192243513226496,0.0,0.04192243513226496,0.0,-0.04192243513226496
24,2016-03-01,3,2016,5.0,-0.7278833026399211,-0.0419224351322649,0.0,0.0,0.0,0.0,-0.041922435132265345,-0.0419224351322649,-0.041922435132265345,-0.0419224351322649,-0.04192243513226496,0.0,0.04192243513226496,0.0
25,2016-04-01,4,2016,4.9,-0.7698057377721861,-0.04192243513226501,-0.0419224351322649,0.0,0.0,0.0,0.0,-0.041922435132265345,-0.0419224351322649,-0.041922435132265345,-0.0419224351322649,-0.04192243513226496,0.0,0.04192243513226496
26,2016-05-01,5,2016,4.9,-0.7698057377721861,0.0,-0.04192243513226501,-0.0419224351322649,0.0,0.0,0.0,0.0,-0.041922435132265345,-0.0419224351322649,-0.041922435132265345,-0.0419224351322649,-0.04192243513226496,0.0
27,2016-06-01,6,2016,4.9,-0.7698057377721861,0.0,0.0,-0.04192243513226501,-0.0419224351322649,0.0,0.0,0.0,0.0,-0.041922435132265345,-0.0419224351322649,-0.041922435132265345,-0.0419224351322649,-0.04192243513226496
28,2016-07-01,7,2016,5.0,-0.7278833026399211,0.04192243513226501,0.0,0.0,-0.04192243513226501,-0.0419224351322649,0.0,0.0,0.0,0.0,-0.041922435132265345,-0.0419224351322649,-0.041922435132265345,-0.0419224351322649
29,2016-08-01,8,2016,4.8,-0.8117281729044513,-0.08384487026453025,0.04192243513226501,0.0,0.0,-0.04192243513226501,-0.0419224351322649,0.0,0.0,0.0,0.0,-0.041922435132265345,-0.0419224351322649,-0.041922435132265345
30,2016-09-01,9,2016,4.8,-0.8117281729044513,0.0,-0.08384487026453025,0.04192243513226501,0.0,0.0,-0.04192243513226501,-0.0419224351322649,0.0,0.0,0.0,0.0,-0.041922435132265345,-0.0419224351322649
31,2016-10-01,10,2016,4.8,-0.8117281729044513,0.0,0.0,-0.08384487026453025,0.04192243513226501,0.0,0.0,-0.04192243513226501,-0.0419224351322649,0.0,0.0,0.0,0.0,-0.041922435132265345
32,2016-11-01,11,2016,4.7,-0.8536506080367163,-0.04192243513226501,0.0,0.0,-0.08384487026453025,0.04192243513226501,0.0,0.0,-0.04192243513226501,-0.0419224351322649,0.0,0.0,0.0,0.0
33,2016-12-01,12,2016,4.7,-0.8536506080367163,0.0,-0.04192243513226501,0.0,0.0,-0.08384487026453025,0.04192243513226501,0.0,0.0,-0.04192243513226501,-0.0419224351322649,0.0,0.0,0.0
34,2017-01-01,1,2017,4.6,-0.8955730431689816,-0.041922435132265234,0.0,-0.04192243513226501,0.0,0.0,-0.08384487026453025,0.04192243513226501,0.0,0.0,-0.04192243513226501,-0.0419224351322649,0.0,0.0
35,2017-02-01,2,2017,4.6,-0.8955730431689816,0.0,-0.041922435132265234,0.0,-0.04192243513226501,0.0,0.0,-0.08384487026453025,0.04192243513226501,0.0,0.0,-0.04192243513226501,-0.0419224351322649,0.0
36,2017-03-01,3,2017,4.5,-0.9374954783012466,-0.04192243513226501,0.0,-0.041922435132265234,0.0,-0.04192243513226501,0.0,0.0,-0.08384487026453025,0.04192243513226501,0.0,0.0,-0.04192243513226501,-0.0419224351322649
37,2017-04-01,4,2017,4.4,-0.9794179134335115,-0.0419224351322649,-0.04192243513226501,0.0,-0.041922435132265234,0.0,-0.04192243513226501,0.0,0.0,-0.08384487026453025,0.04192243513226501,0.0,0.0,-0.04192243513226501
38,2017-05-01,5,2017,4.4,-0.9794179134335115,0.0,-0.0419224351322649,-0.04192243513226501,0.0,-0.041922435132265234,0.0,-0.04192243513226501,0.0,0.0,-0.08384487026453025,0.04192243513226501,0.0,0.0
39,2017-06-01,6,2017,4.3,-1.0213403485657768,-0.041922435132265345,0.0,-0.0419224351322649,-0.04192243513226501,0.0,-0.041922435132265234,0.0,-0.04192243513226501,0.0,0.0,-0.08384487026453025,0.04192243513226501,0.0
40,2017-07-01,7,2017,4.3,-1.0213403485657768,0.0,-0.041922435132265345,0.0,-0.0419224351322649,-0.04192243513226501,0.0,-0.041922435132265234,0.0,-0.04192243513226501,0.0,0.0,-0.08384487026453025,0.04192243513226501
